startup_name_in_which_venture_capital_fund_invested,startup_website_url_in_which_venture_capital_fund_invested,startup_solution_in_which_venture_capital_fund_invested,venture_capital_fund_name,venture_capital_fund_website_url,venture_capital_fund_linkedin_url,venture_capital_fund_investment_industries,venture_capital_fund_investment_stages,venture_capital_fund_analyst_name,venture_capital_fund_analyst_linkedin_url
Pestie,http://pestie.com,"Pestie provides a DIY pest control subscription service that uses advanced pesticide technology to quickly and effectively eliminate a wide variety of pests such as ants, spiders, scorpions, and many others. They also offer customer support from their licensed pest control experts and a bug-free guarantee. Their products are pet-friendly and earth-friendly. Pestie aims to offer the same high-quality service as traditional pest control companies but at a lower cost and with greater convenience for the customer. The company solves the user problems of dealing with pest infestations themselves and finding an affordable and easy way to get rid of pests with effective products.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
Artifact,https://www.artifact.io/,"Artifact aims to solve the problem of poor customer experience and slow issue resolution. It provides a software that enables companies to better understand their customers by analyzing all qualitative and quantitative data sources. By using the tool, businesses can measure the frequency and prevalence of a topic, track user behavior, and detect anomalies, trends, and emerging themes. This helps companies to align their business metrics with the voice of the customer and create strategies that meet their needs and exceed their expectations. The goal is to improve customer experience by providing relevant insights in real-time and enable companies to respond proactively.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
Bacon,http://baconwork.com,"Bacon is solving the problem of efficiently finding and hiring temporary workers for businesses. Their app offers a marketplace for hourly shifts, where businesses can easily find reliable and high-quality temporary staff based on worker profiles, previous experience and past ratings. They use a 5-star rating system for accountability and have a three-strike policy to make sure workers provide the best results. Bacon is flexible and easy to use, with no contracts, subscription fees, or hidden fees. Employers can leave a review, rate and pay workers easily on the same app with no hassle. Bacon provides background checks, workers compensation, and general liability insurance for all workers on their platform.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
SPOTLYFE,https://www.spotlyfe.com/,"SPOTLYFE helps organizations prevent burnout and increase employee engagement and retention by providing tools that help individuals intercept and prevent burnout before it's too late. The aim is to empower individuals to take back control of their lives by taking stock of their life outside of work to ensure that distractions don't build up and derail performance. SPOTLYFE acts like a check engine light, keeping a near real-time pulse on how people are doing to give individuals and organizations early warning signals of decline, so that appropriate action can be taken to correct course and actively avoid burnout, attrition, and productivity loss. It helps organizations retain and get the very best from their top talent by providing tools that prevent burnout and build the habits that lead to improved health and productivity across the workforce. SPOTLYFE brings a 'total person' approach to work, giving individuals and organizations new insights and solutions to drive total employee performance.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
2.0 Ventures,https://2point0ventures.com/news/,2.0 Ventures is helping founders who want to accelerate their business and avoid a heavily-diluted path to an IPO. They believe that the traditional VC model is failing founders and they offer a different approach. They help founders to focus on what matters most by thinking like them and becoming an extension of their team. They have received positive feedback from several founders who appreciate their approach and consider them as genuine partners. The news section of their website shows that they have helped several startups to secure funding.,2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
2.0 Ventures,https://2point0ventures.com/philosophy/,"2.0 Ventures is solving the problem of traditional VC firms failing to provide actual help beyond just funding to founders. They aim to promote optionality and offer ongoing operational support, strategic introductions, and be the go-to thought partner for management. Their goal is to help founders capitalize on their ownership through an accelerated journey to acquisition rather than a heavily-diluted path to an IPO. They also focus on providing disciplined investment by not overpaying or overcapitalizing and sticking to their investment strike zone with thesis-driven backing. The lack of value provided by many VCs also poses a problem, and 2.0 Ventures aims to break the mold by thinking like founders and helping them focus on what matters most.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
Proggio,http://proggio.com,"Proggio aims to solve the problem of making project management accessible, intuitive, and collaborative for all stakeholders in an organization. Its platform offers clear visuals and interactive views that allow users to gain instant insights and identify issues/opportunities early. It enables the creation of team-wide common goals and increases focus to meet goals faster and achieve better results. With Proggio, project managers can invest less time in updating Gantt charts and more time in getting things done. It offers adaptive portfolio management, which helps users adapt faster to changes and optimize resources against new objectives.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
2.0 Ventures,https://2point0ventures.com/team/,"There is no clear information about what user problems this startup is solving, as the context provided mainly describes the team and philosophy of 2.0 Ventures.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
HacWare,http://hacware.com,"HacWare AI is a startup that aims to reduce malware outbreaks by 60%. They provide a security awareness training and phishing simulation API that uses their patent-pending AI technology to create personalized phishing campaigns and training solutions in minutes. They offer a smart and fun training experience for end-users with micro-training videos, pop quizzes, and newsletters that are 100% AI powered. They also help MSPs combat phishing attacks and BEC scams by providing a fully automated, easy-to-integrate, and cost-effective solution that saves up to 40% on labor costs. They offer amazing support and white label or co-branding opportunities for their product.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
2.0 Ventures,https://2point0ventures.com/contact/,"2.0 Ventures aims to solve the problem of founders feeling stuck on a treadmill of fundraising and wanting a more accelerated path to acquisition instead of a heavily-diluted, 10-year path to an IPO. The traditional VC model is failing them, and the startup offers a different approach to venture capital. They function as genuine partners for their portfolio companies, focusing on what matters most and thinking like founders. Their philosophy includes breaking the mold of traditional venture capital.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
KONIG Safe,http://konigsafe.com,"The startup Konig Safe is aiming to solve the problem of securing firearms, valuables, watches, medicine and electronics from being accessed by unauthorized persons, including children. With the use of a Konig Safe, customers can be assured that their items are protected from break-ins and tampering. The safe comes with a customizable and loud audible alarm, and it provides quick, reliable and convenient access through robust hydraulics that automatically lift the lid within 2 seconds. The safe also features a die-cast aluminum construction that ensures extreme protection for items stored within, and an internal LED light illuminates the interior for 10 seconds after unlatching.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
Cydome,https://cydome.io/,"Cydome is solving the problem of maritime cybersecurity by offering real-time detection and alerting for any unauthorized access. Its application provides a platform for cybersecurity onboard that mitigates, prevents, and detects evolving maritime cyber threats. The company provides coverage and monitoring of critical IT and operational assets, ensuring that vessels stay safe from cyber piracy. Cydome enables simple and easy organization of fleet cybersecurity supported by a team of cybersecurity experts. The company is always vigilant to ensure complete cybersecurity at sea and to protect ships from cyber attacks.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
Onda,http://www.drinkonda.com,"This startup, named Que Onda Beverage, sells light and refreshing tequila seltzers made from 100% natural ingredients with no added sugars. Their products have 4.5% alcohol by volume and contain 100 calories. The company offers a variety of flavors such as the tropical collection and the classic collection. Que Onda Beverage also has an online store where customers can purchase their products. The website has a feature that allows users to skip to the content, menu, and footer. The startup targets people who are 21 years old or older and enjoy drinking tequila in a lighter and healthier way.",25madison,https://www.25madison.com/,http://www.linkedin.com/company/25madison,-,"Pre-Seed, Seed, Series A",Alex Toporek,http://www.linkedin.com/in/alex-toporek
"The startup name is Croissant Pay, Inc.",https://www.croissant.com/,Croissant is solving the problem for merchants who want to sell their products quickly without going through the hassle of tracking the value and handling the resale process themselves. It provides a service that tracks the value of the items owned by merchants and takes care of the entire resale process on their behalf. Croissant aims to make the selling process effortless and fast with a one-click sales feature for their customers. The platform allows merchants to focus on creating the products while leaving the tracking and selling process up to Croissant.,25madison,https://www.25madison.com/,http://www.linkedin.com/company/25madison,-,"Pre-Seed, Seed, Series A",Alex Toporek,http://www.linkedin.com/in/alex-toporek
Truehold,http://www.truehold.com,"Truehold is a startup that offers a sale-leaseback service, aiming to solve the problems of homeowners who need to unlock the equity in their homes to invest in their dreams or take care of themselves without selling their homes. The service allows homeowners to sell their houses to Truehold at a competitive price while retaining the rights to lease and live in the homes. Truehold pays for the homeowners' property taxes and insurance and works with the best property managers to provide essential repairs for their houses. The sale-leaseback transaction gives homeowners freedom and flexibility, without a mortgage or the stress of being a homeowner. Truehold also offers a care team of occupational therapists to support the homeowners' health and happiness.",25madison,https://www.25madison.com/,http://www.linkedin.com/company/25madison,-,"Pre-Seed, Seed, Series A",Alex Toporek,http://www.linkedin.com/in/alex-toporek
Startup name: Demoleap,https://jobs.25madison.com/companies,"Demoleap aims to help software companies increase their conversion rates, save the sellers timely logging and follow-up tasks, and gain visibility to actionable demo data. It offers a platform for live sales demos that can be customized according to the customer's persona and the sales rep's navigation inside the demo. The startup is currently in private beta testing.",25madison,https://www.25madison.com/,http://www.linkedin.com/company/25madison,-,"Pre-Seed, Seed, Series A",Alex Toporek,http://www.linkedin.com/in/alex-toporek
Steady,https://steadyapp.com/,"Steady is a startup that aims to increase the income of its members through personalized income recommendations and community-driven financial insights. They also provide benefits delivery to ensure the accurate and efficient distribution of benefits to those seeking ways to generate more income. Steady offers millions of dollars in emergency cash grants, cash incentives, and many other income opportunities. Their initiatives include Universal Basic Income (UBI), Unemployment Insurance (UI) initiatives, emergency cash grants, and driving policy and systems changes. Their goal is to put more cash in the hands of their workers and support those who need it most.",25madison,https://www.25madison.com/,http://www.linkedin.com/company/25madison,-,"Pre-Seed, Seed, Series A",Alex Toporek,http://www.linkedin.com/in/alex-toporek
